dc:identifier,dc:modified,ayto:PuntoMuestreo,ayto:Fecha,ayto:Olor,ayto:Sabor,ayto:Turbidez,ayto:Color,ayto:Conductividad,ayto:pH,ayto:Amonio,ayto:Nitritos,ayto:Oxidabilidad,ayto:CloroLibre,ayto:Al,ayto:Fe,ayto:Cu,ayto:Cr,ayto:Ni,ayto:Pb,ayto:BacteriasColiformes,ayto:eColi,ayto:BacteriasAerobias,ayto:ClostridiumPerfringes,"uri "
N4-13-000006,2021-10-31T23:15:59.994Z,SALIDA DE LA ETAP,2013-01-01,0.00000,0.00000,0.01000," < 5",539.00000,7.76000,0.00000,0.00000,0.40000,0.90000,10,,,,,,0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000006.csv "
N4-13-000063,2021-10-31T23:15:59.993Z,SALIDA DE LA ETAP,2013-01-05,0.00000,0.00000,0.25000," < 5",401.00000,7.68000,0.00000,0.00000,0.60000,0.83000,23,,,,,,0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000063.csv "
N4-13-000054,2021-10-31T23:15:59.993Z,"SAN ROMÃN\, ESTACIÃ“N DE MUESTREO NÂº 1",2013-01-04,0.00000,0.00000,0.20000," < 5",523.00000,7.88000,0.00000,0.00000,0.60000,0.44000,,,,,,,0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000054.csv "
N4-13-000055,2021-10-31T23:15:59.993Z,"PEÃ‘ACASTILLO\, ESTACIÃ“N DE MUESTREO NÂº 3",2013-01-04,0.00000,0.00000,0.23000," < 5",520.00000,7.83000,0.00000,0.00000,0.70000,0.48000,,,,,,,0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000055.csv "
N4-13-000053,2021-10-31T23:15:59.993Z,"CUETO\, ESTACIÃ“N DE MUESTREO NÂº 6",2013-01-04,0.00000,0.00000,0.15000," < 5",543.00000,7.90000,0.00000,0.00000,0.60000,0.49000,,,,,,,0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000053.csv "
N4-13-000051,2021-10-31T23:15:59.993Z,"BÂº PESQUERO\, ESTACIÃ“N DE MUESTREO NÂº 5",2013-01-04,0.00000,0.00000,0.23000," < 5",529.00000,7.92000,0.00000,0.00000,0.70000,0.47000,,,,,,,0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000051.csv "
N4-13-000043,2021-10-31T23:15:59.993Z,ETAP LLEGADA,2013-01-04,0.00000,0.00000,0.69000,5,449.00000,7.59000,0.00000,0.00000,1.40000,0.00000,101,,,,,,520,260.00000,270.00000,7.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000043.csv "
N4-13-000049,2021-10-31T23:15:59.993Z,SALIDA PLANTA SANTANDER,2013-01-04,0.00000,0.00000,0.34000," < 5",458.00000,7.69000,0.00000,0.00000,0.00000,1.02000,,,,,,,,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000049.csv "
N4-13-000057,2021-10-31T23:15:59.993Z,GRIFO VIRTUAL,2013-01-04,0.00000,0.00000,0.26000," < 5",518.00000,7.87000,0.00000,0.00000,0.80000,0.48000,,21," < 0\,001",2,"1\,33"," < 1\,6",0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000057.csv "
N4-13-000048,2021-10-31T23:15:59.993Z,SALIDA DE LA ETAP,2013-01-04,0.00000,0.00000,0.32000," < 5",464.00000,7.71000,0.00000,0.00000,0.70000,0.90000,43,,,,,,0,0.00000,0.00000,0.00000,"http://datos.santander.es/api/datos/calidad_agua/n4-13-000048.csv "
